album,track_name,line,lyric,element,element_artist
Taylor Swift,Stay Beautiful,24,You're really gonna be someone,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,25,Ask anyone,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,26,And when you find everything you looked for,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,27,I hope your life will lead you back to my door,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,28,"Oh, but if it don't",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,29,Stay beautiful,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,30,If you and I are a story,Bridge,Taylor Swift
Taylor Swift,Stay Beautiful,31,That never gets told,Bridge,Taylor Swift
Taylor Swift,Stay Beautiful,32,If what you are is a daydream,Bridge,Taylor Swift
Taylor Swift,Stay Beautiful,33,I'll never get to hold,Bridge,Taylor Swift
Taylor Swift,Stay Beautiful,34,At least you'll know,Bridge,Taylor Swift
Taylor Swift,Stay Beautiful,35,You're beautiful,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,36,"Every little piece, love",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,37,And don't you know,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,38,You're really gonna be someone,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,39,Ask anyone,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,40,And when you find everything you looked for,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,41,I hope your life will lead you back to my front door,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,42,"Oh, but if it don't",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,43,Will you stay,Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,44,"Beautiful, beautiful, beautiful?",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,45,"Beautiful, beautiful, beautiful?",Chorus,Taylor Swift
Taylor Swift,Stay Beautiful,46,La la la,Outro,Taylor Swift
Taylor Swift,Stay Beautiful,47,"Oh, oh, oh, oh",Outro,Taylor Swift
Taylor Swift,Stay Beautiful,48,"Oh, but if it don't",Outro,Taylor Swift
Taylor Swift,Stay Beautiful,49,Stay beautiful,Outro,Taylor Swift
Taylor Swift,Stay Beautiful,50,Stay beautiful,Outro,Taylor Swift
Taylor Swift,Stay Beautiful,51,"Na, na, na, na, na",Outro,Taylor Swift
Taylor Swift,Should've Said No,1,It's strange to think the songs we used to sing,Verse 1,Taylor Swift
Taylor Swift,Should've Said No,2,"The smiles, the flowers, everything is gone",Verse 1,Taylor Swift
Taylor Swift,Should've Said No,3,Yesterday I found out about you,Verse 1,Taylor Swift
Taylor Swift,Should've Said No,4,Even now just looking at you: feels wrong,Verse 1,Taylor Swift
Taylor Swift,Should've Said No,5,"You say that you'd take it all back, given one chance",Pre-Chorus,Taylor Swift
Taylor Swift,Should've Said No,6,"It was a moment of weakness and you said, ""Yes""",Pre-Chorus,Taylor Swift
Taylor Swift,Should've Said No,7,"You should've said, ""No""",Chorus,Taylor Swift
Taylor Swift,Should've Said No,8,You should've gone home,Chorus,Taylor Swift
Taylor Swift,Should've Said No,9,You should've thought twice 'fore you let it all go,Chorus,Taylor Swift
Taylor Swift,Should've Said No,10,"You should've known that word, 'bout what you did with her'd",Chorus,Taylor Swift
