"name","gender","country","sport","birth_date","height","weight","age"
"BURRAJ Franko","Male","Albania","Athletics",1998-08-19,193,0,25
"EL MOSTAFA Faid","Male","Morocco","Athletics",2000-01-13,171,0,24
"VEITIA Lisneidy","Female","Cuba","Athletics",1994-04-29,168,0,30
"MENDY Louis Francois","Male","Senegal","Athletics",1999-03-02,190,0,25
"SEARE Dawit","Male","Eritrea","Athletics",2004-12-29,170,0,19
"MEBRAHTU Merhawi","Male","Eritrea","Athletics",2003-09-21,173,0,20
"DANIEL Rahel","Female","Eritrea","Athletics",2001-11-16,168,0,22
"TRAJKOVIC Milan","Male","Cyprus","Athletics",1992-03-17,188,0,32
"TORRES Gladymar","Female","Puerto Rico","Athletics",2003-03-26,152,0,21
"FOTOPOULOU Olivia","Female","Cyprus","Athletics",1996-12-20,163,0,27
"GARIBAY Hector","Male","Bolivia","Athletics",1988-07-09,160,0,36
"GILL Shaun","Male","Belize","Athletics",1993-04-09,175,0,31
"ANDERSON Navasky","Male","Jamaica","Athletics",2000-01-21,193,0,24
"DIAZ Mario Alberto","Male","Cuba","Athletics",1999-12-08,194,0,24
"ESPINOSA Reynaldo R","Male","Cuba","Athletics",2003-02-01,178,0,21
"HECHAVARRIA Andy","Male","Cuba","Athletics",2000-09-14,190,0,23
"MARTINEZ Lazaro","Male","Cuba","Athletics",1997-11-03,191,0,26
"BARNES Zandrion","Male","Jamaica","Athletics",2001-08-17,183,0,22
"BENNETT Orlando","Male","Jamaica","Athletics",1999-10-12,183,0,24
"PARADA Alejandro","Male","Cuba","Athletics",2004-07-05,185,0,20
"ZAYAS Luis Enrique","Male","Cuba","Athletics",1997-06-07,183,0,27
"ALDRIN Jeswin","Male","India","Athletics",2001-12-24,172,0,22
"CHITHRAVEL Praveen","Male","India","Athletics",2001-06-05,174,0,23
"DIESSL Enzo","Male","Austria","Athletics",2004-06-06,185,0,20
"FUCHS Markus","Male","Austria","Athletics",1995-11-14,174,0,28
"GOGL-WALLI Susanne","Female","Austria","Athletics",1996-05-05,168,0,28
"HUDSON Victoria","Female","Austria","Athletics",1996-05-28,169,0,28
"MAYER Julia","Female","Austria","Athletics",1993-01-20,159,0,31
"PALLITSCH Raphael","Male","Austria","Athletics",1989-12-18,175,0,34
"WEISSHAIDINGER Lukas","Male","Austria","Athletics",1992-02-20,196,0,32
"CAMPBELL Rajindra","Male","Jamaica","Athletics",1996-02-29,178,0,28
"CAMARA Seco","Male","Guinea-Bissau","Athletics",1995-04-20,175,0,29
"AHOURE-DEMPS Murielle","Female","Côte d'Ivoire","Athletics",1987-08-23,171,0,36
"KANIWETE Kenaz","Male","Kiribati","Athletics",2008-03-28,0,0,16
"YARRAJI Jyothi","Female","India","Athletics",1999-08-28,170,0,24
"RAMRAJ Vithya","Female","India","Athletics",1998-09-20,160,0,25
"SALPETER Lonah Chemtai","Female","Israel","Athletics",1988-12-12,165,0,35
"YANG Chun-Han","Male","Chinese Taipei","Athletics",1997-01-01,177,0,27
"PENG Ming-Yang","Male","Chinese Taipei","Athletics",1998-06-10,187,0,26
"TIYOURI Maor","Female","Israel","Athletics",1990-08-13,148,0,33
"KIKI Didier","Male","Benin","Athletics",1995-11-30,187,0,28
"JAMES Kirani","Male","Grenada","Athletics",1992-09-01,191,0,31
"COX Anthony","Male","Jamaica","Athletics",2000-08-26,182,0,23
"FREIRE Samuel","Male","Cabo Verde","Athletics",1990-08-28,180,0,33
"LIN Yu-Tang","Male","Chinese Taipei","Athletics",2000-05-11,174,0,24
"TEWA Waisake","Male","Fiji","Athletics",2003-09-18,185,0,20
"ZHANG Bo-Ya","Female","Chinese Taipei","Athletics",2003-04-03,166,0,21
"FRANCISCO Sydney","Female","Palau","Athletics",2005-05-24,152,0,19
"ALKHAWALDEH Moath","Male","Jordan","Athletics",1988-10-22,171,0,35
"ACET Alperen","Male","Türkiye","Athletics",1998-04-02,189,0,26
